Approach,Dataset,Locations,Days,Evaluation,Time (s),Seed
BF+GI,addis_ababa,5,2,360.411255,0.0011587,0
BFTG,addis_ababa,5,2,360.411255,0.0142127,0
CH+GI,addis_ababa,5,2,361.6183618,0.000937,0
GAC+GI,addis_ababa,5,2,566.1330804,2.4073653,0
GAC+GR,addis_ababa,5,2,361.6183618,1.6864084,0
GAC+GR+BF,addis_ababa,5,2,361.6183618,1.6863892,0
GACC+GI,addis_ababa,5,2,566.1330804,2.1400596,0
GACC+GR,addis_ababa,5,2,361.6183618,1.3407081,0
GACC+GR+BF,addis_ababa,5,2,361.6183618,1.3407053,0
GAR+GI,addis_ababa,5,2,411.6183618,0.5037672,0
GATG,addis_ababa,5,2,360.411255,0.6305076,0
GITG,addis_ababa,5,2,361.6183618,0.0011526,0
GR+GI,addis_ababa,5,2,360.411255,1.67E-05,0
KM+BF,addis_ababa,5,2,410.411255,0.0477798,0
KM+CH,addis_ababa,5,2,411.6183618,0.04846,0
KM+GAR,addis_ababa,5,2,410.411255,0.8429667,0
KM+GI,addis_ababa,5,2,566.1330804,0.0479184,0
KM+GR,addis_ababa,5,2,410.411255,0.047817,0
BF+GI,amsterdam,5,2,453.0863992,0.0010024,0
BFTG,amsterdam,5,2,428.5361467,0.0034996,0
CH+GI,amsterdam,5,2,456.157467,0.0009311,0
GAC+GI,amsterdam,5,2,656.666089,4.2185238,0
GAC+GR,amsterdam,5,2,428.5361467,2.1317086,0
GAC+GR+BF,amsterdam,5,2,428.5361467,2.1316924,0
GACC+GI,amsterdam,5,2,656.666089,4.3418841,0
GACC+GR,amsterdam,5,2,428.5361467,2.866917,0
GACC+GR+BF,amsterdam,5,2,428.5361467,2.8668862,0
GAR+GI,amsterdam,5,2,453.0863992,1.0171844,0
GATG,amsterdam,5,2,428.5361467,0.8451337,0
GITG,amsterdam,5,2,453.0863992,0.0010853,0
GR+GI,amsterdam,5,2,453.0863992,5.41E-05,0
KM+BF,amsterdam,5,2,546.6011178,0.014039,0
KM+CH,amsterdam,5,2,546.6011178,0.0146949,0
KM+GAR,amsterdam,5,2,546.6011178,1.1272725,0
KM+GI,amsterdam,5,2,669.9442636,0.0139897,0
KM+GR,amsterdam,5,2,546.6011178,0.0138744,0
BF+GI,auckland,5,2,426.1513703,0.00102,0
BFTG,auckland,5,2,397.1869042,0.0032488,0
CH+GI,auckland,5,2,398.6011178,0.0008218,0
GAC+GI,auckland,5,2,650.6305551,2.9998701,0
GAC+GR,auckland,5,2,397.1869042,1.9766218,0
GAC+GR+BF,auckland,5,2,397.1869042,1.9766098,0
GACC+GI,auckland,5,2,650.6305551,2.5522588,0
GACC+GR,auckland,5,2,401.6011178,1.4443844,0
GACC+GR+BF,auckland,5,2,401.6011178,1.444369,0
GAR+GI,auckland,5,2,426.1513703,0.7385146,0
GATG,auckland,5,2,397.1869042,0.6809823,0
GITG,auckland,5,2,398.394011,0.0010837,0
GR+GI,auckland,5,2,426.1513703,2.49E-05,0
KM+BF,auckland,5,2,551.7726907,0.0109937,0
KM+CH,auckland,5,2,551.7726907,0.0114856,0
KM+GAR,auckland,5,2,551.7726907,0.841165,0
KM+GI,auckland,5,2,650.6305551,0.0109237,0
KM+GR,auckland,5,2,551.7726907,0.0108194,0
BF+GI,barcelona,5,2,364.6894296,0.0010782,0
BFTG,barcelona,5,2,362.0681092,0.0044776,0
CH+GI,barcelona,5,2,364.6894296,0.0010514,0
GAC+GI,barcelona,5,2,569.7544007,2.8799153,0
